index,review,cpu,graphicard,hardisk,ram,screen
0,"First time using chrome wanted windows 10 but haven't had to use my phone anymore and I no longer charge then since this helps me do everything I need at light speed! Been playing games on it non stop while streaming videos and it just blends if u multi tasking and are addicted to YouTube like myself....it's a powerful laptop for a Chromebook I've run multiple pages in HD videos streaming with very minimal lag (due to area of internet). But what I love the most is the charger which is very important as to how long ur laptop will last, not only is it super fast at charging but it is delicate and easy to plug in and it pops off as a safety mechanism I believe...either way it never overheats it charges really fast even during heavy use and it has options to really dim down the screen to save energy. It's like a tablet but you can do way more and run apps with easy... A must have if you like to entertain your family or others as the speakers on this babe are crisp and clear. It's also light and it comes with this cool bubble wrapping packaging that I've been using in between my lap and the laptop and for storage . My fav thing about this is it's taken over my use or cravings to even use a mobile or smartphone/iPhone which is only explained by how easy it is to get everything social media done on a Chromebook while I do plan to get a Dell that runs windows 10 this is really good to save ur other devices from the load social media and YouTube can out on a device built to run more complex programs. So get one for sure and forget about charging ur phone and looking like a boy who can out down his Gameboy lol jk",2,2,5,4,2
1,"Awful, cheap laptop. Entire setup is plastic and reeks of 'Made In China'. WI-FI adaptor could not find my router (3 feet away!) and the whole rig was SLOW. Sad thing is, I did my research. A LOT of misleading info on this until. Skip it.",3,1,2,4,2
2,LOVE IT! It cold boots in 2 seconds or maybe less...it is quick...graphics are great. No issues.,2,0,1,2,2
3,"Buyer beware! This was supposed to be ""like new."" While the screen was in great shape, but one of the USB ports was severely damaged and unusable and the speaker cover underneath was also damaged. It worked the first time I used it for a couple of hours then wouldn't power up the 2nd time I wanted to use it even though it was completely charged. I have returned this.",2,2,3,4,3
4,"This is a really good computer and its awesome for the price, I was a little skeptical at first but once I got it I was so happy. The memory is not much but once you buy a 128gb SD card you will be good and this is really really good for college students because it includes one year Microsoft Office!!!",3,1,5,4,3
5,Works great so far! Very light and great battery time. If you're looking for cheap fast computer then this is the one!,3,4,5,4,3
6,The person I bought this for has so far been very happy with this laptop for several months. Battery lasts a very long time and it is nice and lightweight. Perfect for what we needed.,3,2,5,4,6
7,"For what you pay, I do feel that you get your money's worth. It is a fast laptop with a lot to offer. Aesthetically, I do like how it looks, but I don't like how easily it shows fingerprints. I'm also coming from a 17"" laptop, which means that I'm having to readjust to a more confined keyboard...so for the time being I am not a huge fan of the chiclet style keys. But I'm hoping that time remedies that.",2,2,1,2,2
8,The computer operates well. But actually I asked for a grey one.,2,0,1,2,2
9,By looks its good but when I turned it on it took 2 min to start. Also it got stuck on process at 92% for almost an hour. Then I decided I made a mistake to buy,1,0,1,2,2
10,Exactly as advertised.,2,2,3,4,3
11,"Excelente producto!!. Tenia miewo, pues todos los comentarios hacia la marca y hasta del modelo no eran alentadoras. Pero muy buen producto",2,2,1,2,3
12,"I got this computer for college school work and very basic computer programming related to school. I havent used it for games yet, but I anticipate it should run well. If you buy this, let it have a day to fully install all updates. Trust me. It will take a while. There is a way to skip this process, but I dont remember the steps right now.",2,4,1,2,2
13,Love this chrome book! Lost it the day after I got it because my daughter uses it for school. Her school-given chrome book is the size and weight of a large text book.,2,4,5,4,5
14,"So far working great, very fast startup and shutdown.",2,2,3,2,2
15,It came without charger and connecting cable. Please call me and confirm when I will get these items.I can charge and test the computer only after I get theseWhen are you sending the charger and connecting cable??,2,2,1,3,2
16,Less than 6 months and the Hard Drive is going bad. Dell is sending me a box to send it to them to fix. I'm a little leery about sending it but they're doing for no cost.. I scanned the QR code and it said HD failure. I checked the description from Amazon-it's not matching what Tech is saying.. I hope Dell will bring this machine to the specifications that I bought. It only failed long after Amazon could intervene.,2,2,0,2,2
17,"Great laptop. Love it and very please with its super light weight and how well it functions and it has a great design. For simple laptop purposes it's great. I'm a student and wanted a laptop on the go that wouldn't be too heavy in my backpack. Id recommend getting a hard shell case and waterproof case which I brought both on Amazon too for extra protection. I haven't had problems with mine but keep in mind it is a very thin laptop, may be fragile.",3,1,5,4,3
