index,need,cpu,graphicard,hardisk,ram,screen
0,I want a high performance-cost ratio computer which can do fast start-up. The computer should be light and have a good fingerprint scanner. A premium typing experience and a professional look are expected. I want the design to be tasteful and minimalist. The keyboard should be easy to type on and I want good precision and gestures from the computer. It would be nice if it is silent when light use.,1,0,5,2,2
1,My wife wants to play more demanding games so she needs a computer that handles games well and quick. There should be tons of storage for her to store the games. The computer should also be thin and light. A great battery life is expected.,1,4,1,3,2
2,A nice fingerprint scanner should be included in my new computer.,1,2,1,2,3
3,The computer should be light.,3,2,3,2,2
4,I need a fast computer.,2,2,1,2,2
5,I need a light and fast computer with a high-resolution screen.,3,2,3,2,2
6,I am finding a new computer that would startup quickly.,2,4,3,2,2
7,I need a computer with a reasonable price. I need to take it to my class so it's better to be small and have a good screen to work with. I need to store my work so I need a decent CPU. I like a traditional layout. I need the track pad to be functional and I should type fast and accurately on the keyboard. Hopefully the speakers are decent too.,2,2,1,2,2
8,I need a strong upgrade from my old computer that is faster and has better screen.,1,4,1,2,2
9,My old computer doesn't work for me anymore and I need a sleek one which has good battery life and runs games perfectly.,1,0,3,2,2
10,My last computer was still working but I decided to go for a faster computer which is reasonably priced.,1,0,1,2,2
11,"I need a computer that runs silently with a good battery life, also it should stay within my budget.",1,0,5,2,2
12,Now I'm in college and I need a quiet computer to work with.,1,0,3,2,2
13,I produce music so I hope the new computer works great for the software with a reasonable price.,1,0,1,2,2
14,Price is an important element when I purchase a new computer.,1,4,1,3,2
15,My wife and I want to change the computer of our home and we are finding a computer that works quietly and fast. A good touch screen is also necessary.,2,2,1,2,2
16,I have got big hands so I need huge touchscreen and keyboard.,2,2,0,2,2
17,"My step son wants a computer with not much bloatware. He does mostly for gaming so a bright screen, fast refreshing, a decent keyboard and loud speakers are all the things he needs. I do hope the price won't be too high.",1,0,1,2,2
18,I play games so I need a laptop to perform well in those.,1,0,1,2,2
19,I don't have much criteria for my new computer. I just want it to be reasonably priced.,1,0,1,2,2
20,I don't have a huge budget so I need a computer with a good price.,2,2,1,2,2
21,I need a replacement of my old computer that has a modern design and a nice screen. I want it to be fast in booting. The fingerprint sensor should be good as well as the price.,3,2,3,2,2
22,I need a computer that can play games fast and smoothly.,1,0,5,2,2
23,A computer with marvelous screen and good price is what I need right now.,1,4,1,2,2
24,I cannot spend too much on the computer so I need one with a reasonable price.,1,0,1,2,2
25,It would be enjoyable to have a computer that is speedy with an amazing sound system.,1,4,1,3,2
26,I would use the computer for engineering purposes and it should be good looking and affordable.,2,0,1,2,2
27,I am looking for a computer that play games well with a reasonable price.,1,0,1,2,2
28,I am buying a Christmas present for my daughter and she wants it to be fast to meet her needs.,2,2,0,2,2
29,I am an engineering student and am finding myself a fast computer with superb specs. The display ought to be great with awesome backlit keyboard. I hope the price would be reasonable though.,1,0,3,2,2
30,I got to use a lot of graphics and processing-heavy programmes so I hope the computer has no issues with them. It should startup fast without being overheat. I hope there will be clear display and sound. The battery life should also be long to support my work.,1,0,1,2,2
31,I need some recommendations for a computer that comes with a high performance-cost ratio.,2,1,1,2,2
32,My old laptop is not working and I am finding a new one that has good amount of RAM and storage. It should play games well with a good price.,3,2,1,2,2
33,I want to gift myself a light and portable computer.,3,2,2,0,3
34,I am a student and I need a recommendation for a lightweight and thin computer. It should also be sleek and come with the perfect size.,3,2,5,4,3
35,I want a computer that is lightweight and fast.,2,2,1,2,0
36,I am trying to find a new computer that is reasonably priced.,2,2,1,3,2
37,"As an experienced Windows user, I am finding a new laptop that is fast, light, sleek and has a good storage capability.",1,2,1,2,3
38,My past laptop just died a few days ago and I am in urgent for a computer that is well balanced for the price.,1,0,1,2,2
39,I am findinging myself a better computer with competitive specs and budget price.,2,2,1,2,3
40,A good looking computer with a great price is what I need.,1,2,1,2,3
41,I am finding for a new gaming laptop. It should produce less heat with a lower power consumption. I want it to boot and startup fast. The screen should be bright with low light leckage and high colour representation that come with wide viewing angles. I also need a solid build that it only produce low fan noise. I don't want it to be too heavy. A good keyboard is preferrable.,1,0,1,2,2
42,"My dream computer would the one with marvellous design, pleasing audio system and amazing specs.",1,0,1,2,2
43,A fast computer would be preferrable.,2,2,1,3,2
44,I want a new gaming laptop that play my games well with a good price.,2,0,1,2,2
45,I am looking for recommendation on a fast computer with fantastic price.,1,4,1,2,2
46,A computer with high performance-cost ratio is what I need.,3,2,2,0,3
47,I need to buy my wife a new computer and she wants it to be run fast and cool. The battery life should be long for her and she will need tons of storage space.,2,2,1,3,2
48,I hope the money I spent would be exchanged for a good computer.,1,4,1,3,2
49,I want the new computer to come with a cool touch screen.,2,2,1,2,2
50,I want a computer that run games without issues.,1,0,1,2,2
51,I need a fast computer to get my things done quickly.,1,2,1,2,3
52,I am finding a new gaming computer for myself and I want it to be fast and upgradeable. The setup should be nice and the keyboard should be great. I hope the price would be reasonable.,2,0,1,0,2
53,"I am finding myself a new computer that has a sharp screen and a good Bluetooth connection. The power brick should be small though. I want the computer to be thin and light, and its better to to fully articulated by hinges.",1,2,3,2,4
54,I need the computer to boot up fast to meet my needs.,2,0,3,1,2
55,I would like to have a computer with long battery life and can run fast and quietly. The keyboard would be better with red backlit. I want it to be lightweight and have a high performance-cost ratio.,1,0,5,2,2
56,My old computer needs replacement and the new one should be fast and has a perfect size. The screen should be great though.,3,2,3,2,2
57,I need a computer as a present for my little brother and he like it to be aesthetically pleasing and response fast. I just want the price to be reasonable.,1,4,1,3,2
58,I am finding a computer with great price.,1,0,1,2,2
59,I need a computer that stays within my budget.,2,1,2,4,2
60,I do a couple of tasks on my laptop si I want it to run games well with a reasonable price.,1,0,1,2,2
